feed_ts,feed_date,capture_ts,elapsed_s,symbol,spot,contracts_kept,net_gex_window,flip,flip_pct_vs_spot,call_wall,put_wall,regime,atm_iv_30,atm_iv_60,term_slope,rr25,skew_state,session_call_volume,session_put_volume,session_pc_volume,dte_window,strike_window,schema_version
2026-09-09 23:21:39,2026-09-09,2026-09-09T23:21:54+00:00,,SPX,7636.3599,10540,-32845350456.8,7695.6795,0.007768,7750.0,7500.0,negative,0.134,0.14325,0.00925,-0.0453,STEEP,485841.0,598995.0,1.2329,45,0.15,1
2026-09-09 23:21:44,2026-09-09,2026-09-09T23:21:54+00:00,,SPY,762.65,3064,-8352754118.91,769.6721,0.009207,775.0,755.0,negative,0.13215,0.1389,0.00675,-0.0467,STEEP,1142521.0,1503670.0,1.3161,45,0.15,1
2026-09-09 23:21:42,2026-09-09,2026-09-09T23:21:54+00:00,,QQQ,715.71,2820,-1569990557.24,720.2603,0.006358,725.0,700.0,negative,0.19215,0.20125,0.0091,-0.054,STEEP,665901.0,895485.0,1.3448,45,0.15,1
2026-09-09 23:21:35,2026-09-09,2026-09-09T23:21:54+00:00,,IWM,290.6,1818,-3570022345.51,300.0807,0.032624,295.0,285.0,negative,0.18365,0.19385,0.0102,-0.0464,STEEP,309661.0,633479.0,2.0457,45,0.15,1
2026-09-09 23:25:39,2026-09-09,2026-09-09T23:26:13+00:00,259,SPX,7636.3599,10540,-32845350456.8,7695.6928,0.00777,7750.0,7500.0,negative,0.134,0.14325,0.00925,-0.0453,STEEP,485841.0,598995.0,1.2329,45,0.15,1
2026-09-09 23:25:44,2026-09-09,2026-09-09T23:26:13+00:00,259,SPY,762.65,3064,-8352754118.91,769.6709,0.009206,775.0,755.0,negative,0.13215,0.1389,0.00675,-0.0467,STEEP,1142521.0,1503670.0,1.3161,45,0.15,1
2026-09-09 23:25:42,2026-09-09,2026-09-09T23:26:13+00:00,259,QQQ,715.51,2818,-1569256684.41,720.2592,0.006638,725.0,700.0,negative,0.19215,0.20125,0.0091,-0.054,STEEP,665901.0,895485.0,1.3448,45,0.15,1
2026-09-09 23:25:35,2026-09-09,2026-09-09T23:26:13+00:00,259,IWM,290.59,1818,-3569776649.65,300.0782,0.032651,295.0,285.0,negative,0.18365,0.19385,0.0102,-0.0464,STEEP,309661.0,633479.0,2.0457,45,0.15,1
2026-09-09 23:41:45,2026-09-09,2026-09-09T23:42:17+00:00,964,SPY,762.68,3064,-8353411268.46,769.6664,0.00916,775.0,755.0,negative,0.13215,0.1389,0.00675,-0.0467,STEEP,1142521.0,1503670.0,1.3161,45,0.15,1
2026-09-09 23:41:42,2026-09-09,2026-09-09T23:42:17+00:00,964,QQQ,715.61,2818,-1569551865.34,720.2537,0.006489,725.0,700.0,negative,0.19215,0.20125,0.0091,-0.054,STEEP,665901.0,895485.0,1.3448,45,0.15,1
2026-09-09 23:41:36,2026-09-09,2026-09-09T23:42:17+00:00,964,IWM,290.57,1822,-3569285283.28,300.0685,0.032689,295.0,285.0,negative,0.18365,0.19385,0.0102,-0.0464,STEEP,309661.0,633479.0,2.0457,45,0.15,1
