feed_ts,feed_date,capture_ts,symbol,spot,contracts_total,contracts_dte,contracts_window,net_gex_full,net_gex_window,flip,flip_pct_vs_spot,call_wall,put_wall,wall_fallback,regime,max_dte,wall_exclude,grid_window,plot_window,iv_rescaled,schema_version,session_date
2026-09-07 11:30:44,2026-09-07,2026-09-07T11:39:54+00:00,SPX,7718.6001,28444,10620,7276,788111533.49,2089906044.2,7704.5341,-0.001822,7800.0,7600.0,0,positive,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-07 11:36:49,2026-09-07,2026-09-07T11:39:55+00:00,SPY,770.19,12086,3704,2296,-2987788457.84,-2677489805.13,771.0085,0.001063,780.0,760.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-07 11:30:33,2026-09-07,2026-09-07T11:39:56+00:00,QQQ,717.5,10504,3972,2202,-969652810.14,-853195656.89,719.4268,0.002685,725.0,700.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-07 11:18:43,2026-09-07,2026-09-07T11:39:56+00:00,IWM,296.01,4912,2076,1190,-1621189431.5,-1563821353.87,298.2493,0.007565,300.0,290.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-08 11:38:16,2026-09-08,2026-09-08T11:38:59+00:00,SPX,7718.6001,28444,10866,7438,-14140389656.68,-12382117800.12,7704.0789,-0.001881,7800.0,7600.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-08 11:33:25,2026-09-08,2026-09-08T11:39:00+00:00,SPY,767.8815,12086,3704,2282,-2969904629.28,-2667280131.17,771.0327,0.004104,780.0,760.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-08 11:26:55,2026-09-08,2026-09-08T11:39:01+00:00,QQQ,718.51,10504,3972,2216,-972384625.15,-846633856.74,719.1481,0.000888,730.0,700.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-08 11:18:14,2026-09-08,2026-09-08T11:39:01+00:00,IWM,295.05,4912,2076,1188,-1610691014.95,-1556557739.55,297.8614,0.009529,300.0,290.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-04
2026-09-12 18:49:37,2026-09-12,2026-09-12T23:34:48+00:00,SPX,7656.98,28532,10710,7388,-14618358893.06,-13087370866.6,7676.4103,0.002538,7750.0,7500.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-12 18:43:40,2026-09-12,2026-09-12T23:34:49+00:00,QQQ,714.89,11162,4904,2922,-1705149261.59,-1591502981.13,718.6211,0.005219,725.0,700.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-13 01:36:07,2026-09-13,2026-09-13T11:36:17+00:00,SPX,7656.98,28532,10710,7388,-14618358893.06,-13087370866.6,7677.07,0.002624,7750.0,7500.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-13 10:45:58,2026-09-13,2026-09-13T11:36:18+00:00,SPY,764.29,12838,4786,2958,-5266616354.69,-4974694715.1,768.2171,0.005138,775.0,750.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-13 05:27:46,2026-09-13,2026-09-13T11:36:18+00:00,QQQ,714.89,11162,4904,2922,-1705149261.59,-1591502981.13,718.461,0.004995,725.0,700.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-13 05:58:17,2026-09-13,2026-09-13T11:36:19+00:00,IWM,288.89,5404,2568,1486,-3585099371.5,-3554736948.47,296.4627,0.026213,295.0,285.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-14 11:40:16,2026-09-14,2026-09-14T11:40:23+00:00,SPX,7656.98,28934,11092,7660,-55494009633.87,-53306531268.17,7667.2478,0.001341,7500.0,7500.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-14 11:40:01,2026-09-14,2026-09-14T11:40:24+00:00,SPY,759.85,12956,4846,3020,-8134852972.19,-7844237499.12,767.3676,0.009894,770.0,750.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-14 11:33:36,2026-09-14,2026-09-14T11:40:25+00:00,QQQ,704.41,11280,4964,2994,-2910389474.49,-2829197985.63,717.8288,0.01905,720.0,690.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-14 10:41:18,2026-09-14,2026-09-14T11:40:26+00:00,IWM,288.17,5538,2644,1538,-3717758522.54,-3702290024.68,296.3353,0.028335,295.0,285.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-11
2026-09-20 10:37:31,2026-09-20,2026-09-20T11:36:33+00:00,SPX,7650.5,27782,10526,7344,-4440518615.05,-2811214822.54,7666.909,0.002145,8000.0,8000.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-18
2026-09-20 02:58:44,2026-09-20,2026-09-20T11:36:34+00:00,SPY,761.69,12312,4280,2668,-3659452040.57,-3444073176.16,765.4605,0.00495,770.0,745.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-18
2026-09-20 05:47:31,2026-09-20,2026-09-20T11:36:35+00:00,QQQ,722.05,10436,4370,2616,998262930.7,1105535618.86,718.9128,-0.004345,730.0,700.0,0,positive,30,0.01,0.15,0.1,0,2,2026-09-18
2026-09-19 23:28:48,2026-09-19,2026-09-20T11:36:35+00:00,IWM,284.1,5272,2388,1344,-2946873225.71,-2936405621.74,295.9377,0.041667,290.0,280.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-18
2026-09-21 11:39:15,2026-09-21,2026-09-21T11:39:44+00:00,SPX,7650.5,29518,10880,7562,41693121402.45,42777205139.35,7660.6697,0.001329,8000.0,8000.0,0,positive,30,0.01,0.15,0.1,0,2,2026-09-18
2026-09-21 11:35:31,2026-09-21,2026-09-21T11:39:45+00:00,SPY,766.78,12388,4356,2742,-4282896511.83,-4026499534.54,764.1428,-0.003439,775.0,745.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-18
2026-09-21 11:37:56,2026-09-21,2026-09-21T11:39:45+00:00,QQQ,728.16,10560,4494,2678,2328217406.94,2542163619.13,719.1403,-0.012387,720.0,715.0,0,positive,30,0.01,0.15,0.1,0,2,2026-09-18
2026-09-21 11:08:39,2026-09-21,2026-09-21T11:39:46+00:00,IWM,286.14,5374,2490,1442,-2928777284.37,-2915368877.67,293.6596,0.026279,290.0,280.0,0,negative,30,0.01,0.15,0.1,0,2,2026-09-18
