symbol,capture_ts,rv_asof_date,rv_source,rv_proxy,hv10,hv20,hv60,rv_down_up_ratio_60,rv_tail_ratio_60,rv_skew_60,n_closes,schema_version
SPX,2026-09-11T13:12:49+00:00,2026-09-10,SPX,False,0.098419,0.08729,0.114815,0.7428,0.8769,0.2659,13031,1
SPY,2026-09-11T13:12:49+00:00,2026-09-10,SPX,True,0.098419,0.08729,0.114815,0.7428,0.8769,0.2659,13031,1
IWM,2026-09-11T13:12:49+00:00,2026-09-10,RUT,True,0.140405,0.131134,0.139807,1.0483,0.852,0.3922,1452,1
SPX,2026-09-14T13:15:14+00:00,2026-09-11,SPX,False,0.101865,0.08992,0.115465,0.7312,0.913,0.1965,13032,1
SPY,2026-09-14T13:15:14+00:00,2026-09-11,SPX,True,0.101865,0.08992,0.115465,0.7312,0.913,0.1965,13032,1
IWM,2026-09-14T13:15:14+00:00,2026-09-11,RUT,True,0.142886,0.132385,0.139064,1.0563,0.864,0.3385,1453,1
SPX,2026-09-15T13:14:01+00:00,2026-09-14,SPX,False,0.103525,0.090969,0.113006,0.6978,0.7655,0.2452,13033,1
SPY,2026-09-15T13:14:01+00:00,2026-09-14,SPX,True,0.103525,0.090969,0.113006,0.6978,0.7655,0.2452,13033,1
IWM,2026-09-15T13:14:01+00:00,2026-09-14,RUT,True,0.131056,0.129378,0.138525,1.0413,0.864,0.3312,1454,1
SPX,2026-09-16T13:14:12+00:00,2026-09-15,SPX,False,0.104369,0.090559,0.11136,0.7139,0.7371,0.3067,13034,1
SPY,2026-09-16T13:14:12+00:00,2026-09-15,SPX,True,0.104369,0.090559,0.11136,0.7139,0.7371,0.3067,13034,1
IWM,2026-09-16T13:14:12+00:00,2026-09-15,RUT,True,0.132797,0.130427,0.132166,1.1165,0.9525,0.261,1455,1
SPX,2026-09-17T13:13:58+00:00,2026-09-16,SPX,False,0.101017,0.088869,0.111487,0.7174,0.7371,0.3092,13035,1
SPY,2026-09-17T13:13:58+00:00,2026-09-16,SPX,True,0.101017,0.088869,0.111487,0.7174,0.7371,0.3092,13035,1
IWM,2026-09-17T13:13:58+00:00,2026-09-16,RUT,True,0.122453,0.125173,0.131037,1.1097,0.9405,0.3216,1456,1
SPX,2026-09-18T13:12:01+00:00,2026-09-17,SPX,False,0.116053,0.098517,0.109528,0.6543,0.6643,0.3739,13036,1
SPY,2026-09-18T13:12:01+00:00,2026-09-17,SPX,True,0.116053,0.098517,0.109528,0.6543,0.6643,0.3739,13036,1
IWM,2026-09-18T13:12:01+00:00,2026-09-17,RUT,True,0.107383,0.125628,0.130354,1.1046,0.9525,0.261,1457,1
SPX,2026-09-21T13:12:18+00:00,2026-09-18,SPX,False,0.100192,0.093763,0.109499,0.6886,0.6861,0.3546,13037,1
SPY,2026-09-21T13:12:18+00:00,2026-09-18,SPX,True,0.100192,0.093763,0.109499,0.6886,0.6861,0.3546,13037,1
IWM,2026-09-21T13:12:18+00:00,2026-09-18,RUT,True,0.098434,0.119443,0.130344,1.0771,0.9405,0.3107,1458,1
SPX,2026-09-22T13:13:22+00:00,2026-09-21,SPX,False,0.127027,0.106602,0.113265,0.6806,0.5919,0.3495,13038,1
SPY,2026-09-22T13:13:22+00:00,2026-09-21,SPX,True,0.127027,0.106602,0.113265,0.6806,0.5919,0.3495,13038,1
IWM,2026-09-22T13:13:22+00:00,2026-09-21,RUT,True,0.104044,0.116086,0.129923,1.088,0.9405,0.317,1459,1
SPX,2026-09-23T13:14:15+00:00,2026-09-22,SPX,False,0.122001,0.105882,0.113245,0.6784,0.5919,0.3464,13039,1
SPY,2026-09-23T13:14:15+00:00,2026-09-22,SPX,True,0.122001,0.105882,0.113245,0.6784,0.5919,0.3464,13039,1
IWM,2026-09-23T13:14:15+00:00,2026-09-22,RUT,True,0.111604,0.117289,0.130433,1.0632,0.9405,0.2922,1460,1
SPX,2026-09-24T13:14:07+00:00,2026-09-22,SPX,False,0.122001,0.105882,0.113245,0.6784,0.5919,0.3464,13039,1
SPY,2026-09-24T13:14:07+00:00,2026-09-22,SPX,True,0.122001,0.105882,0.113245,0.6784,0.5919,0.3464,13039,1
IWM,2026-09-24T13:14:07+00:00,2026-09-22,RUT,True,0.111604,0.117289,0.130433,1.0632,0.9405,0.2922,1460,1
SPX,2026-09-25T13:14:11+00:00,2026-09-22,SPX,False,0.122001,0.105882,0.113245,0.6784,0.5919,0.3464,13039,1
SPY,2026-09-25T13:14:11+00:00,2026-09-22,SPX,True,0.122001,0.105882,0.113245,0.6784,0.5919,0.3464,13039,1
IWM,2026-09-25T13:14:11+00:00,2026-09-22,RUT,True,0.111604,0.117289,0.130433,1.0632,0.9405,0.2922,1460,1
